"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"17/1","2002-07-26","2020-08-01","фильтр сетевой помехоподавляющий ФСПК-100(200)-0,22/0,38-91 УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","2034-12-31"
"21/2","2013-06-25","2019-06-25","программный комплекс защиты информации от НСД «Страж 1.1»","Соответствует требованиям документов: РД СВТ(2)","1","АО «Информационные спутниковые системы» имени академика М.Ф. Решетнева»","","АО «Информационные спутниковые системы» имени академика М.Ф. Решетнева»","662972, Красноярский край, г. Железногорск, ул. Ленина, д. 52, (3919) 76-40-02, 72-24-39",""
"32/1","1996-04-20","2021-04-17","система защиты информации от несанкционированного доступа «Снег 2.0»","Соответствует требованиям документов: РД СВТ(2)","1","ФГУП «СКЦ Росатома»","АО Центр «Атомзащитаинформ»","ФГУП «ПО «Маяк»","456784, Челябинская обл., г. Озерск, пр-т Ленина, д. 31, (35130) 2-5011","2035-12-31"
"32/2","1996-04-20","2021-04-17","система защиты информации от несанкционированного доступа «Снег 2.0»","Соответствует требованиям документов: РД СВТ(2)","1","ФГУП «СКЦ Росатома»","АО Центр «Атомзащитаинформ»","ФГУП «Приборостроительный завод имени К.А.Володина»","456080, Челябинская обл., г. Трехгорный, ул. Заречная, д. 13, (35191) 55055","2035-12-31"
"66","1996-12-26","2021-01-24","устройство активной защиты информации «Волна-4М»","Соответствует требованиям документов: Требования к САЗ ПЭМИН-2014(А), Требования к САЗ ПЭМИН-2014(Б)","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ЦКБИ ФГУП «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, д. 14","2030-01-24"
"109","1997-09-19","2023-09-19","устройство защиты МП-1А","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","серия","АО «РНТ»","Гостехкомиссия России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159","2026-12-30"
"110","1997-09-19","2023-08-19","устройство защиты МП-1Ц","Соответствует требованиям документов: НМД ПЭМИН-1998, ТУ","серия","АО «РНТ»","Гостехкомиссия России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159","2026-12-30"
"153/12","2011-12-29","2020-12-29","комплекс СЗИ от НСД «Аккорд 1.95» (модификация «Аккорд- 1.95/1.12- 4+»)","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","1","Государственное унитарное дочернее предприятие ФГУП «Красноармейский НИИ механизации «Безопасность информационных технологий и компонентов»","Гостехкомиссия России","АО «ГРЦ Макеева»","456300, Челябинская обл., г. Миасс, Тургоякское шоссе, д. 1, (3513) 286-370","2020-12-29"
"153/13","2012-04-06","2021-04-06","комплекс системы защиты информации от несанкционированного доступа «Аккорд-1.95 (версия 6.0)»","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","2","АО «БИТК»","Гостехкомиссия России","АО «ГРЦ Макеева»","456300, Челябинская обл., г. Миасс, Тургоякское шоссе, д. 1, (3513) 286-370","2021-04-06"
"214/1","2002-07-26","2020-08-01","фильтр сетевой помехоподавляющий ФСПК-10-220-99-УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","2034-12-31"
